"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D", +EI TIC MRM CID@25.0 (** -> **) MB_B28_PCB_03cal_20220507.d ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No integration results available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D ",18,38.484,38.67,38.819,639951.97,3917181.07,54.5,56.51,5.04,0.096,,549.72,2784.67,18.71,19.27,1.05,635387.94,,56.31,  ,186,,,,,,,,,,,
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D ",19,38.977,39.139,39.277,513365.97,3070734.98,42.72,45.33,3.95,0.093,,922.7,9011.78,19.54,20.04,1.01,511373.03,,45.17,  ,186,,,,,,,,,,,
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D ",20,39.461,39.58,39.764,500206.59,2985401.94,41.54,44.17,3.84,0.302,,12556.84,829.92,20.34,37.35,,500233.63,,44.02,MM,,,,,M,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D", +EI MRM CID@25.0 (261.0 -> 191.1) MB_B28_PCB_03cal_20220507.D ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No integration results available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D", +EI MRM CID@25.0 (261.0 -> 191.1) MB_B28_PCB_03cal_20220507.D  Smooth ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D ",Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D ",1,30.344,30.539,30.702,619963,3639838,100,100,100,0.358,,98,194,98,90,,620057,,99.99,MM,,,,,M,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D", +EI MRM CID@25.0 (268.0 -> 198.1) MB_B28_PCB_03cal_20220507.D ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No integration results available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D", +EI MRM CID@25.0 (268.0 -> 198.1) MB_B28_PCB_03cal_20220507.D  Smooth ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D ",Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D ",1,34.636,34.832,34.995,517170,2953173,100,100,100,0.358,,66,271,66,175,,517296,,99.98,MM,,,,,M,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D", +EI MRM CID@25.0 (291.9 -> 222.0) MB_B28_PCB_03cal_20220507.D ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No integration results available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D", +EI MRM CID@25.0 (291.9 -> 222.0) MB_B28_PCB_03cal_20220507.D  Smooth ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D ",Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D ",1,31.922,32.118,32.272,539916.69,3120123.67,28.98,41.11,3.1,0.35,,107.37,179.84,107.37,-85.23,,539916.56,,40.98,MM,,,,,M,,,,,,,
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D ",2,34.358,34.578,34.757,564226.78,4439554.37,41.23,42.96,4.41,0.399,,77.55,299.99,77.55,-42.37,,564238.25,,42.82,MM,,,,,M,,,,,,,
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D ",3,35.14,35.344,35.344,369825.59,1710830.57,15.89,28.16,1.7,0.204,,248.46,370422.84,248.46,597.25,,370422.84,,28.07,MM,,,,,M,,,,,,,
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D ",4,35.344,35.401,35.531,443128.95,2522111.02,23.42,33.74,2.51,0.187,,370422.84,3018.04,597.25,43.34,,443557.66,,33.63,MM,,,,,M,,,,,,,
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D ",5,35.531,35.662,35.824,307382.74,1737190.26,16.13,23.4,1.73,0.293,,3018.04,223.61,34.15,223.61,,307501.09,,23.33,MM,,,,,M,,,,,,,
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D ",6,36.844,37.201,37.275,382431.37,2229952.07,20.71,29.12,2.22,0.09,,24.49,119284.53,24,24.47,1.05,384021.84,,29.03,  ,222,,,,,,,,,,,
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D ",7,37.275,37.359,37.43,525266.9,3128752.07,29.06,39.99,3.11,0.091,,119284.53,223387.06,24.47,24.63,1,520862.34,,39.87,  ,222,,,,,,,,,,,
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D ",8,37.43,37.481,37.587,324017.44,1774481.46,16.48,24.67,1.76,0.083,,223387.06,17740.66,24.63,24.8,0.85,325191.28,,24.59,  ,222,,,,,,,,,,,
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D ",9,37.587,37.724,37.903,658944.31,4646922.41,43.16,50.17,4.62,0.113,,17740.66,704.38,24.8,25.15,1.04,652646,,50.01,  ,222,,,,,,,,,,,
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D ",10,37.903,38.074,38.184,385230.91,2245982.06,20.86,29.33,2.23,0.091,,704.38,14690.75,25.15,25.45,1.05,383169.63,,29.24,  ,222,,,,,,,,,,,
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D ",11,38.184,38.358,38.507,991923.4,7264731.32,67.47,75.52,7.22,0.112,,14690.75,2541.02,25.45,25.8,1.41,988589.69,,75.29,  ,222,,,,,,,,,,,
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D ",12,38.507,38.683,38.809,1313450.57,9174087.47,85.2,100,9.12,0.111,,2541.02,68938.16,25.8,26.13,0.96,1317529.5,,99.69,  ,222,,,,,,,,,,,
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D ",13,38.809,38.886,39.108,270397.57,1549295.56,14.39,20.59,1.54,0.089,,68938.16,449.2,26.13,26.45,1.01,271828.41,,20.52,  ,222,,,,,,,,,,,
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D ",14,39.13,39.304,39.332,309367.46,1616245.47,15.01,23.55,1.61,0.202,,514.37,295836.88,88.98,26.69,,309402.66,,23.48,MM,,,,,M,,,,,,,
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D ",15,39.332,39.414,39.533,796588.26,4699306.69,43.64,60.65,4.67,0.202,,295836.88,9331.85,43.66,134.3,,796669,,60.46,MM,,,,,M,,,,,,,
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D ",16,39.533,39.643,39.799,322339,1868670.02,17.35,24.54,1.86,0.266,,9331.85,672.09,26.92,-1.66,,322354.09,,24.47,MM,,,,,M,,,,,,,
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D ",17,40.287,40.508,40.659,493440.63,2874468.32,26.69,37.57,2.86,0.091,,151.31,1186.49,27.73,28.13,1.03,496155.53,,37.45,  ,222,,,,,,,,,,,
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D ",18,40.659,40.825,41.096,467283.29,2747803.79,25.52,35.58,2.73,0.092,,1186.49,339.26,28.13,28.6,1,466979.38,,35.47,  ,222,,,,,,,,,,,
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D ",19,41.096,41.286,41.411,437352.62,2597199.27,24.12,33.3,2.58,0.093,,339.26,6893.39,28.6,28.94,1.03,439594.28,,33.19,  ,222,,,,,,,,,,,
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D ",20,41.411,41.541,41.637,447408.68,2658260.85,24.69,34.06,2.64,0.093,,6893.39,44844.27,28.94,29.19,1.02,448342.69,,33.96,  ,222,,,,,,,,,,,
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D ",21,41.637,41.734,41.874,492960.52,2847947.59,26.45,37.53,2.83,0.09,,44844.27,3606.47,29.19,29.44,1.01,494460.75,,37.42,  ,222,,,,,,,,,,,
